location,origin_date,target_date,output_type,output_type_id,value,target
Cal_S,2026-06-30,2026-07-31,quantile,0.01,0.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.05,0.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.1,0.0,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.15,0.8227190066610419,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.2,1.6735609661713782,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.25,2.524402925681714,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.3,3.2021041183968553,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.35,3.8798053111119977,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.4,4.191184851242888,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.45,4.136242738789533,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.5,4.081300626336176,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.55,4.02635851388282,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.6,3.971416401429463,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.65,4.308810682778484,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.7,5.038541357929878,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.75,5.768272033081275,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.8,6.945237834981586,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.85,8.122203636881899,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.9,10.131937943282102,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.95,16.694284498630005,WNV cases
Cal_S,2026-06-30,2026-07-31,quantile,0.99,25.041426747945007,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.01,0.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.05,0.0,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.1,1.1213923065530371,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.15,3.0883726864684555,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.2,4.2335435252997495,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.25,5.378714364131042,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.3,6.066389384683736,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.35,6.75406440523643,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.4,7.05726745351632,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.45,6.97599852952341,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.5,6.894729605530499,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.55,6.813460681537589,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.6,6.732191757544679,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.65,7.056891212406951,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.7,7.787559046124403,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.75,8.518226879841857,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.8,9.743108969676367,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.85,10.967991059510883,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.9,12.949128606851362,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.95,19.321236376310864,WNV cases
LAO_G,2026-06-30,2026-07-31,quantile,0.99,28.981854564466296,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.01,0.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.05,0.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.1,0.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.15,0.0,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.2,0.013142020471730298,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.25,0.8073556380142443,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.3,1.3945905405150327,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.35,1.9818254430158215,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.4,2.2897406101751647,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.45,2.318336041993064,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.5,2.3469314738109635,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.55,2.375526905628863,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.6,2.4041223374467626,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.65,2.7074723879426923,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.7,3.28557705711665,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.75,3.8636817262906096,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.8,4.889660567151095,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.85,5.9156394080115815,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.9,7.9138724190177445,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.95,14.691430212302157,WNV cases
ScV_N,2026-06-30,2026-07-31,quantile,0.99,22.037145318453234,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.01,0.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.05,0.0,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.1,1.3674150523900888,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.15,3.393626451557188,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.2,4.265097723331616,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.25,5.136568995106044,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.3,5.840920762784751,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.35,6.545272530463459,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.4,6.866546175297386,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.45,6.804741697286536,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.5,6.742937219275687,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.55,6.681132741264838,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.6,6.619328263253989,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.65,6.989851954557027,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.7,7.792703815173948,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.75,8.595555675790871,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.8,9.92625971634115,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.85,11.25696375689143,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.9,13.424615480342435,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.95,20.08038215370964,WNV cases
ScV_S,2026-06-30,2026-07-31,quantile,0.99,30.12057323056446,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.01,0.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.05,0.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.1,0.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.15,0.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.2,0.0,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.25,0.5388597285777538,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.3,1.104448541052819,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.35,1.670037353527885,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.4,1.9711467056584488,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.45,2.007776597444513,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.5,2.0444064892305773,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.55,2.081036381016642,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.6,2.117666272802706,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.65,2.4012164270958514,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.7,2.9316868438960757,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.75,3.462157260696302,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.8,4.474402752744366,WNV cases
SnJ_N,2026-06-30,2026-07-31,quantile,0.85,5.486648244792433,WNV cases
